id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
65,Kaduva,"An intense rivalry with IG Joseph lands Kaduva in jail. But when he gets released, the battle for supremacy continues, wherein losing is not an option.",,,0 days 02:29:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
66,Angrezi Medium,"Champak, a simple Mithai-seller, will go to any lengths to fulfil daughter Tarika's dream of studying in London, triggering a chain of hilarious misadventures.",,,0 days 02:25:00,,2020-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
67,Haraamkhor,"A married teacher's illicit affair with his teenage student turns into an odd love triangle, when her classmate gets attracted to her.",,,0 days 01:28:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
68,Tukaram,"Based on the 17th century saint-poet, this ardent devotee of Lord Vithal took to meditation after he lost most of his family members to a famine.",,,0 days 02:35:00,,2012-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
69,Khatron Se Khelenge,A conman has the impossible task of stealing treasure from a royal household. Now he must hatch a plan for a perfect heist.,,,0 days 02:08:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
70,Copy,A man resorts to technology to find a balance between his marriage and an illicit affair. Trouble ensues when his lookalike robot falls in love with his wife.,,,0 days 00:40:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
71,Creature 3D,"Ahana acquires a hotel in the hills. At the launch party, she meets Kunal and they fall in love. But a strange creature begins to terrorise them!",,,0 days 02:07:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
72,Sanjeevani: Adventure on the edge,"A group of mountaineers set out to find the mythical plant, Sanjeevani. On their way, they see a host of strange creatures but no escape.",,,0 days 01:22:00,,2018-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
73,Sahaj Paather Gappo,10-year-old Gopal and his kid brother Chottu struggle to make ends meet. But they also fancy attending an upcoming grand feast.,,,0 days 01:22:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
74,Judwaa 2,"Separated at birth, twins Raja and Prem reunite as adults to take on a smuggling mafia while their similar looks add chaos to the confusion.",,,0 days 02:18:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
75,Baahubali 2: The Conclusion,Why did Kattappa kill Amarendra Baahubali? Unveil the mystery and many more secrets that lie in the depths of the Mahishmati kingdom.,,,0 days 02:40:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
76,Hero,"A gangster's son kidnaps the daughter of the Chief of Police, as her father has some crucial evidence. While the police chase the two, love blooms between them.",,,0 days 02:03:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
77,Singham Returns,"Bad-ass cop Bajirao Singham is back as the DCP of Mumbai. To pave the way for justice, he has to deal with a corrupt politician and an immoral god-man.",,,0 days 02:13:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
78,Kaabil,Rohan and Supriya are visually impaired. Their dream to live happily ever after goes awfully wrong when a local goon enters their life.,,,0 days 02:14:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
79,Akira,"Akira Sharma, a college student takes on four corrupt cops to prove herself innocent, when she gets involved in a crime that she has not committed.",,,0 days 02:10:00,,2016-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
80,Vikrant Rona,"When a series of mysterious events stirs pandemonium in a village, an eccentric cop Vikrant Rona sets out to solve the case wherein everyone is under the radar.",,,0 days 02:25:00,,2022-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
81,DD Returns,"In a bid to outwit the police, Satish and his gang hide stolen jewels and money in a haunted mansion. But the desperate gamble lands them in a ghost’s trap.",,,0 days 01:57:00,,2023-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
82,Baahubali - The Beginning,"Darkness befalls the Mahishmati kingdom after the assassination of beloved King Amarendra Baahubali. However, a deadly battle must be fought to restore justice.",,,0 days 02:32:00,,2015-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
83,Begum Jaan,"A brothel stands in the way of the partition line. While the authorities try all means to oust the prostitutes, they stand their ground.",,,0 days 01:39:00,,2017-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
84,Bang Bang,"Rajveer sets out to steal the world's most coveted diamond, the Kohinoor, triggering a series of fights, car chases and a revenge plot.",,,0 days 02:26:00,,2014-01-01,2025-03-12 06:56:36.431407,2025-03-12 06:56:36.431433
