id,title,description,image_url,trailer_url,start_to_end_time,rating,release_at,created_at,updated_at
95,Bajrangi Bhaijaan,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,,,04:00:00,,2015.0,,
96,War,"Indian agent Khalid goes on a mission to hunt and eliminate his former mentor, the country's top agent Kabir who has gone rogue. A deadly war begins.",,,04:00:00,,2019.0,,
97,Padmaavat,"Set in medieval Rajasthan, Queen Padmavati is married to a noble king and they live in a prosperous fortress with their subjects until an ambitious Sultan hears of Padmavati's beauty and forms an obsessive love for the Queen of Mewar.",,,04:00:00,,2018.0,,
98,Sultan,"Sultan is a classic underdog tale about a wrestler's journey, looking for a comeback by defeating all odds.",,,04:00:00,,2016.0,,
99,Kabir Singh,"An exalted but short-fused surgeon plunges into a spiral of drugs, alcohol and rage after his intense relationship with his girlfriend turbulently ends.",,,04:00:00,,2019.0,,
100,Tanhaji: The Unsung Warrior,"Tanhaji Malusare, a military chieftain in the army of the Maratha king Shivaji, leads the charge to capture the strategically important Kondhana fort guarded by the army of the fierce Rajput chieftain Udaybhan Rathod.",,,04:00:00,,2020.0,,
101,The Kashmir Files,"A heart-wrenching tale that captures the pain, suffering, and struggle of the Kashmiri Pandit community in 1990 and leads Krishna, a young college student, to set out on a quest to uncover the truth.",,,04:00:00,,2022.0,,
102,Brahmastra Part One: Shiva,"A DJ with superpowers and his ladylove embark on a mission to protect the Brahmastra, a weapon of enormous energy, from dark forces closing in on them.",,,04:00:00,,2022.0,,
103,Simmba,"Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.",,,04:00:00,,2018.0,,
104,Drishyam 2,A gripping tale of an investigation and a family which is threatened by it. Will Vijay Salgaonkar be able to protect his family this time?,,,04:00:00,,2022.0,,
105,Kick,"An adrenaline junkie walks away from a whirlwind romance and embraces a new life as a thief, though he soon finds himself pursued by veteran police officer and engaged in a turf war with a local gangster.",,,04:00:00,,2014.0,,
106,Krrish 3,"Krrish and his scientist father must save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.",,,04:00:00,,2013.0,,
107,Chennai Express,A man travelling to Rameshwaram via Chennai express in order to immerse his late grandfather's ashes finds himself in trouble after helping a don's daughter and her cousins board the train.,,,04:00:00,,2013.0,,
108,Bharat,"At the cusp of India's birth as an Independent nation, a family makes an arduous journey to freedom at a cost. A young boy Bharat, makes a promise to his Father that he will keep his family together no matter what.",,,04:00:00,,2019.0,,
109,Housefull 4,"Three couples who get separated from each other due to an evil ploy, reincarnate after 600 years and meet each other as history repeats itself again and their respective partners get mixed up this time.",,,04:00:00,,2019.0,,
110,Prem Ratan Dhan Payo,"While recovering from an assassination attempt four days before his coronation, a stern prince is replaced by a romantic lookalike.",,,04:00:00,,2015.0,,
111,Golmaal Again,The gang encounters with some spiritual bodies and finds out the truth about the Jamnadas Orphanage where they were brought up.,,,04:00:00,,2017.0,,
112,Good Newwz,Two couples with the same surname pursue in-vitro fertilization and wait for their upcoming babies. Trouble ensues when they find that the sperms of each couple have been mixed with each other.,,,04:00:00,,2019.0,,
113,Mission Mangal,"Based on true events of the Indian Space Research Organisation (ISRO) successfully launching the Mars Orbiter Mission (Mangalyaan), making it the least expensive mission to Mars.",,,04:00:00,,2019.0,,
114,3 Idiots,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",,,04:00:00,,2009.0,,
115,Happy New Year,A gang of amateur dancers takes part in a dancing competition to avenge their personal vendetta.,,,04:00:00,,2014.0,,
116,Ek Tha Tiger,India's top spy Tiger and his love Zoya battle the dark world of intelligence and espionage that forbids its soldiers from loving the enemy.,,,04:00:00,,2012.0,,
117,Sooryavanshi,"DCP Veer Sooryavanshi, the chief of the Anti-Terrorism Squad in India, tries to bring down a terrorist organization with which he has a history.",,,04:00:00,,2021.0,,
118,Yeh Jawaani Hai Deewani,"Kabir and Naina bond during a trekking trip. Before Naina can express herself, Kabir leaves India to pursue his career. They meet again years later, but he still cherishes his dreams more than bonds.",,,04:00:00,,2013.0,,
119,Bhool Bhulaiyaa 2,"When strangers Reet and Ruhan cross paths, their journey leads to an abandoned mansion and a dreaded spirit that has been trapped for 18 years.",,,04:00:00,,2022.0,,
120,Bajirao Mastani,"An account of the romance between the Maratha general, Baji Rao I and Mastani, princess of Bundelkhand.",,,04:00:00,,2015.0,,
121,Baaghi 2,"A battle-hardened army officer squares off against drug lords and Russian henchmen to save his ex-lover's kidnapped daughter in the underbelly of Goa, India.",,,04:00:00,,2018.0,,
122,Raees,A bootlegger sets out to improve his community as a promising leader but falls in a political trap.,,,04:00:00,,2017.0,,
123,Kesari,"Based on an incredible true story of the Battle of Saragarhi in which an army of 21 Sikhs fought against 10,000 Afghans in 1897.",,,04:00:00,,2019.0,,
124,Total Dhamaal,A group of people learn about a hidden treasure and then they race to find it and claim it.,,,04:00:00,,2019.0,,
125,Dabangg 2,Chulbul Pandey invites a fresh trouble when he kills the brother of a notorious politician and the former swears to wreak havoc in his life.,,,04:00:00,,2012.0,,
126,Chhichhore,"A tragic incident forces Anirudh, a middle-aged man, to take a trip down memory lane and reminisce his college days along with his friends, who were labelled as losers.",,,04:00:00,,2019.0,,
127,Tanu Weds Manu Returns,Tanu and Manu's marriage collapses. What happens when Manu meets Tanu's lookalike Kusum - and when Tanu returns?,,,04:00:00,,2015.0,,
128,Bodyguard,The daughter of a wealthy nobleman secretly falls in love with her bodyguard.,,,04:00:00,,2011.0,,
129,Super 30,Based on the life of Patna-based mathematician Anand Kumar who runs the famed Super 30 program for IIT aspirants in Patna.,,,04:00:00,,2019.0,,
130,Dream Girl,"Rom-com Movie, directed by Raaj Shaandilyaa, stars Ayushmann Khurrana who plays a 'dream girl'. In every love story, there is always one trying to win the heart of the other, who could be the 'dream girl'.",,,04:00:00,,2019.0,,
131,Singham Returns,"Owing to the wrongdoings affiliated with evils similar to black money, an honest but ferocious police officer returns as the Deputy Commissioner of Police with the prospect of wiping out injustice.",,,04:00:00,,2014.0,,
132,Dabangg,"A corrupt police officer faces challenges from his family, gangsters and politicians.",,,04:00:00,,2010.0,,
133,Gully Boy,A coming-of-age story based on the lives of street rappers in Mumbai.,,,04:00:00,,2019.0,,
134,Judwaa 2,Prem and Raja are twin brothers who are seperated at birth but are uniquely connected to eachother via their reflexes. They reunite as adults and set out to take down the underground smuggling world.,,,04:00:00,,2017.0,,
135,The Kerala Story,"A converted Muslim woman Fatima Ba narrates her ordeal of how she once wanted to become a nurse but was abducted from her home and manipulated by religious vanguards, turned into an ISIS terrorist and landed in Afghanistan jail.",,,04:00:00,,2023.0,,
