id,title,description,release_at,rating
69,Cousins,"Separated as children, three cousins with an unshakeable bond confront their painful pasts and embark on an emotional journey to find each other.",2021,TV-MA
70,Deep,Four insomniac med school students are lured into a neuroscience experiment that spirals out of control — and must find a way out before it’s too late.,2021,TV-MA
71,Emicida: AmarElo - Live in São Paulo,"Brazilian rapper Emicida brings his progressive rhymes and eclectic beats to São Paulo's Theatro Municipal as he performs hits from the album ""AmarElo.""",2021,TV-MA
72,A Classic Horror Story,"In this gruesome suspense film, strangers traveling in southern Italy become stranded in the woods, where they must fight desperately to get out alive.",2021,TV-MA
73,Private Network: Who Killed Manuel Buendía?,A deep dive into the work of renowned Mexican journalist Manuel Buendía looks to unravel his murder and the ties between politics and drug trafficking.,2021,TV-MA
74,The Guide to the Perfect Family,"A couple in Québec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image.",2021,TV-MA
75,How I Became a Superhero,"In a world where humans and superheroes coexist, a lone wolf cop teams up with a bright detective to dismantle a dark plot to extract superpowers.",2021,TV-MA
76,Last Summer,"During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle.",2021,TV-MA
77,Major Grom: Plague Doctor,"When a masked vigilante’s killing spree throws a city into chaos, a renegade detective and his rookie partner are the only ones who can stop it.",2021,TV-MA
78,Haseen Dillruba,"Under investigation as a suspect in her husband’s murder, a wife reveals details of their thorny marriage that seem to only further blur the truth.",2021,TV-MA
79,America: The Motion Picture,A chainsaw-wielding George Washington teams with beer-loving bro Sam Adams to take down the Brits in a tongue-in-cheek riff on the American Revolution.,2021,TV-MA
80,Mommy Issues,Close quarters and new romances add trouble to the rocky relationship between a high-strung young woman and her demanding mother.,2021,TV-MA
81,Prime Time,"On New Year’s Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air.",2021,TV-MA
82,Good on Paper,"After years of putting her career first, a stand-up comic meets a guy who seems perfect: smart, nice, successful... and possibly too good to be true.",2021,TV-MA
83,The House of Flowers: The Movie,The De La Mora siblings concoct a mischievous plan to break into their old family home to retrieve a hidden treasure of significant importance.,2021,TV-MA
84,A Family,"Taken in by the yakuza at a young age, Kenji swears allegiance to his old-school boss, pledging to adhere to the family code amid ever-changing times.",2021,TV-MA
85,Jagame Thandhiram,"When a clever, carefree gangster is recruited to help an overseas crime lord take down a rival, he is caught off guard by the moral dilemmas that follow.",2021,TV-MA
86,Security,"After the assault of a young woman in their seaside town, a security expert and his family get caught in a powerful riptide of secrets and lies.",2021,TV-MA
87,The Devil Below,"When a team of researchers tries to find out what started a fire in a coal mine, they quickly discover that the disaster is anything but natural.",2021,TV-MA
88,Bling Empire - The Afterparty,"The stars of ""Bling Empire"" discuss the show's success and play bling-themed games, then comic Joel Kim Booster makes his case for joining the cast.",2021,TV-MA
89,Cobra Kai - The Afterparty,"Ralph Macchio, William Zabka and more from the ""Cobra Kai"" cast drop by to chat Season 3 (spoilers ahead!), followed by Bill Burr of ""F Is for Family.""",2021,TV-MA
90,To All the Boys: Always and Forever - The Afterparty,"Cast members of the ""To All the Boys"" films dish about the third movie and answer some fan questions, plus Whitney Cummings gives suspect dating advice.",2021,TV-MA
91,Camellia Sisters,Tensions rise and untold secrets surface for three royal sisters when a family treasure is stolen the night before an antique auction.,2021,TV-MA
92,Awake,"After a global event wipes out humanity's ability to sleep, a troubled ex-soldier fights to save her family as society and her mind spiral into chaos.",2021,TV-MA
93,Tragic Jungle,"To escape an arranged marriage, a woman flees into the depths of the Mayan jungle, where untamed nature merges the human and the supernatural.",2021,TV-MA
94,Xtreme,"In this fast-paced and action-packed thriller, a retired hitman — along with his sister and a troubled teen — takes revenge on his lethal stepbrother.",2021,TV-MA
95,Alan Saldaña: Locked Up,"Mexican comedian Alan Saldaña is back, poking gentle fun at himself and parceling advice, especially about how to stay married and how to be parents.",2021,TV-MA
96,Dancing Queens,"A dancer who gets a job cleaning at a struggling drag club dreams of being in the show, and her talent catches an ambitious choreographer's eye.",2021,TV-MA
97,Carnaval,"After a breakup, an influencer takes her friends on a free trip to Bahia's vibrant Carnival, where she learns life's not just about social media likes.",2021,TV-MA
98,Bo Burnham: Inside,"A new comedy special shot and performed by Bo Burnham, alone, over the course of the past year.",2021,TV-MA
99,Ghost Lab,"After witnessing a haunting in their hospital, two doctors become dangerously obsessed with obtaining scientific proof that ghosts exist.",2021,TV-MA
100,Soy Rada: Serendipity,"The delightful Argentine comic Agustín Aristarán (aka Soy Rada) is back, this time putting the spotlight on family and parenting, magic and music.",2021,TV-MA
101,Ahaan,"Jilted by his wife, a man with OCD finds eye-opening common ground and camaraderie with his neighbor, a young man with Down Syndrome.",2021,TV-MA
102,Cinema Bandi,A struggling rickshaw driver’s life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers.,2021,TV-MA
103,Nayattu,Three police officers become pawns for unscrupulous lawmakers when they are framed in an incident amid political elections and must flee to evade arrest.,2021,TV-MA
104,The Disciple,"Self-doubt, sacrifice and struggle converge into an existential crisis for a devoted classical vocalist as the mastery he strives for remains elusive.",2021,TV-MA
