id,title,description,start_to_end_time,rating,release_at,image_url,trailer_url
67,Now You See Me,An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.,0 days 01:55:00,7.3,2013-01-01,,
68,12 Years a Slave,"In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.",0 days 02:14:00,8.1,2013-01-01,,
69,Prometheus,"Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.",0 days 02:04:00,7.0,2012-01-01,,
70,The Curious Case of Benjamin Button,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",0 days 02:46:00,7.8,2008-01-01,,
71,Argo,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",0 days 02:00:00,7.7,2012-01-01,,
72,Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,0 days 01:47:00,8.5,2014-01-01,,
73,The Amazing Spider-Man,"After Peter Parker is bitten by a genetically altered spider, he gains newfound, spider-like powers and ventures out to solve the mystery of his parent's mysterious death.",0 days 02:16:00,7.0,2012-01-01,,
74,Batman v Superman: Dawn of Justice,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",0 days 02:31:00,6.7,2016-01-01,,
75,Edge of Tomorrow,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",0 days 01:53:00,7.9,2014-01-01,,
76,Life of Pi,"A young man who survives a disaster at sea is hurtled into an epic journey of adventure and discovery. While cast away, he forms an unexpected connection with another survivor: a fearsome Bengal tiger.",0 days 02:07:00,7.9,2012-01-01,,
77,Drive,A mysterious Hollywood stuntman and mechanic moonlights as a getaway driver and finds himself in trouble when he helps out his neighbor.,0 days 01:40:00,7.8,2011-01-01,,
78,Into the Wild,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",0 days 02:28:00,8.1,2007-01-01,,
79,Kick-Ass,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",0 days 01:57:00,7.7,2010-01-01,,
80,Jurassic World,"A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, which escapes containment and goes on a killing spree.",0 days 02:04:00,7.0,2015-01-01,,
81,Looper,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.",0 days 01:59:00,7.4,2012-01-01,,
82,Frozen,"When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition.",0 days 01:42:00,7.5,2013-01-01,,
83,Limitless,"With the help of a mysterious pill that enables the user to access 100 percent of his brain abilities, a struggling writer becomes a financial wizard, but it also puts him in a new world with lots of dangers.",0 days 01:45:00,7.4,2011-01-01,,
84,Thor: The Dark World,"When Dr. Jane Foster gets cursed with a powerful entity known as the Aether, Thor is heralded of the cosmic event known as the Convergence and the genocidal Dark Elves.",0 days 01:52:00,7.0,2013-01-01,,
85,Superbad,Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry.,0 days 01:53:00,7.6,2007-01-01,,
86,Birdman or (The Unexpected Virtue of Ignorance),"Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown.",0 days 01:59:00,7.8,2014-01-01,,
87,Kingsman: The Secret Service,"A spy organization recruits an unrefined, but promising street kid into the agency's ultra-competitive training program, just as a global threat emerges from a twisted tech genius.",0 days 02:09:00,7.7,2014-01-01,,
88,Juno,"Faced with an unplanned pregnancy, an offbeat young woman makes an unusual decision regarding her unborn child.",0 days 01:36:00,7.5,2007-01-01,,
89,21 Jump Street,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,0 days 01:50:00,7.2,2012-01-01,,
90,Prisoners,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.",0 days 02:33:00,8.1,2013-01-01,,
91,Rise of the Planet of the Apes,"A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",0 days 01:45:00,7.6,2011-01-01,,
92,Blood Diamond,"A fisherman, a smuggler, and a syndicate of businessmen match wits over the possession of a priceless diamond.",0 days 02:23:00,8.0,2006-01-01,,
93,Star Trek Into Darkness,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",0 days 02:12:00,7.8,2013-01-01,,
94,Inside Out,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",0 days 01:35:00,8.2,2015-01-01,,
95,Captain America: Civil War,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,0 days 02:27:00,7.9,2016-01-01,,
96,Despicable Me,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",0 days 01:35:00,7.7,2010-01-01,,
97,Watchmen,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",0 days 02:42:00,7.6,2009-01-01,,
98,Oblivion,A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.,0 days 02:04:00,7.0,2013-01-01,,
99,Zombieland,"A shy student trying to reach his family in Ohio, a gun-toting tough guy trying to find the last Twinkie, and a pair of sisters trying to get to an amusement park join forces to travel across a zombie-filled America.",0 days 01:28:00,7.7,2009-01-01,,
100,X-Men: The Last Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men, led by Professor Charles Xavier, and the Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",0 days 01:44:00,6.7,2006-01-01,,
